condition,check_index,property,tested_on,response,correct,exptid,workerid
memory_check,3,Monica is unpatriotic,1,1,1,1,cec5155e05e0fece1ea35233e1b580c1
memory_check,4,Michael is nerdy,0,0,1,1,cec5155e05e0fece1ea35233e1b580c1
memory_check,5,Louis is athletic,0,0,1,1,cec5155e05e0fece1ea35233e1b580c1
memory_check,6,Jamar is not unexpected,0,0,1,1,cec5155e05e0fece1ea35233e1b580c1
memory_check,7,Veronica is not not friendly,1,0,0,1,cec5155e05e0fece1ea35233e1b580c1
memory_check,8,Liam is kind,1,1,1,1,cec5155e05e0fece1ea35233e1b580c1
memory_check,9,Casey is studious,0,0,1,1,cec5155e05e0fece1ea35233e1b580c1
memory_check,0,Jamar is not unexpected,0,0,1,1,5fef6bbd66bd8c097ccd1fb04e66214e
memory_check,1,Louis is athletic,0,0,1,1,5fef6bbd66bd8c097ccd1fb04e66214e
memory_check,2,Laura is intelligent,1,1,1,1,5fef6bbd66bd8c097ccd1fb04e66214e
memory_check,3,Michael is nerdy,0,0,1,1,5fef6bbd66bd8c097ccd1fb04e66214e
memory_check,4,Melinda is happy,1,1,1,1,5fef6bbd66bd8c097ccd1fb04e66214e
memory_check,5,Samuel is not honest,1,1,1,1,5fef6bbd66bd8c097ccd1fb04e66214e
memory_check,6,Casey is studious,0,0,1,1,5fef6bbd66bd8c097ccd1fb04e66214e
memory_check,7,Steve is short,0,0,1,1,5fef6bbd66bd8c097ccd1fb04e66214e
memory_check,8,Andrew is patriotic,1,1,1,1,5fef6bbd66bd8c097ccd1fb04e66214e
memory_check,9,Brooke is not kind,1,1,1,1,5fef6bbd66bd8c097ccd1fb04e66214e
memory_check,0,Sasha is not not educated,1,1,1,1,8ee832e3c5fa2992a4d585219222de1b
memory_check,1,Angela is attractive,1,1,1,1,8ee832e3c5fa2992a4d585219222de1b
memory_check,2,Louis is athletic,0,0,1,1,8ee832e3c5fa2992a4d585219222de1b
memory_check,3,William is not not happy,1,1,1,1,8ee832e3c5fa2992a4d585219222de1b
memory_check,4,Jamar is not unexpected,0,0,1,1,8ee832e3c5fa2992a4d585219222de1b
memory_check,5,Michelle is not not resourceful,1,1,1,1,8ee832e3c5fa2992a4d585219222de1b
memory_check,6,Michael is nerdy,0,0,1,1,8ee832e3c5fa2992a4d585219222de1b
memory_check,7,Veronica is not not sincere,1,0,0,1,8ee832e3c5fa2992a4d585219222de1b
memory_check,8,Steve is short,0,0,1,1,8ee832e3c5fa2992a4d585219222de1b
memory_check,9,Casey is studious,0,0,1,1,8ee832e3c5fa2992a4d585219222de1b
memory_check,0,Michael is nerdy,0,0,1,1,5cb7b89e9ffd253b69016bfbe3741efc
memory_check,1,Andrew is not not generous,1,1,1,1,5cb7b89e9ffd253b69016bfbe3741efc
memory_check,2,Alicia is tolerant,1,1,1,1,5cb7b89e9ffd253b69016bfbe3741efc
memory_check,3,Steve is short,0,0,1,1,5cb7b89e9ffd253b69016bfbe3741efc
memory_check,4,Kim is not happy,1,1,1,1,5cb7b89e9ffd253b69016bfbe3741efc
memory_check,5,Casey is studious,0,0,1,1,5cb7b89e9ffd253b69016bfbe3741efc
memory_check,6,Noah is unfriendly,1,1,1,1,5cb7b89e9ffd253b69016bfbe3741efc
memory_check,7,Daniel is unkind,1,1,1,1,5cb7b89e9ffd253b69016bfbe3741efc
memory_check,8,Louis is athletic,0,0,1,1,5cb7b89e9ffd253b69016bfbe3741efc
memory_check,9,Jamar is not unexpected,0,0,1,1,5cb7b89e9ffd253b69016bfbe3741efc
memory_check,0,Veronica is not not affectionate,1,0,0,1,49e86bb63f95c733aa33cb44ba44a330
memory_check,1,Michael is nerdy,0,0,1,1,49e86bb63f95c733aa33cb44ba44a330
memory_check,2,Jamar is not unexpected,0,0,1,1,49e86bb63f95c733aa33cb44ba44a330
memory_check,3,Maya is insincere,1,1,1,1,49e86bb63f95c733aa33cb44ba44a330
memory_check,4,Louis is athletic,0,0,1,1,49e86bb63f95c733aa33cb44ba44a330
memory_check,5,Casey is studious,0,0,1,1,49e86bb63f95c733aa33cb44ba44a330
memory_check,6,Steve is short,0,0,1,1,49e86bb63f95c733aa33cb44ba44a330
memory_check,7,Jeremy is not polite,1,1,1,1,49e86bb63f95c733aa33cb44ba44a330
memory_check,8,Lucas is unfriendly,1,0,0,1,49e86bb63f95c733aa33cb44ba44a330
memory_check,9,Michelle is kind,1,1,1,1,49e86bb63f95c733aa33cb44ba44a330
memory_check,0,Brooke is unfriendly,1,0,0,1,0a3f4d267f2d38e19515bf22ae120994
memory_check,1,Jamar is not unexpected,0,0,1,1,0a3f4d267f2d38e19515bf22ae120994
memory_check,2,Casey is studious,0,0,1,1,0a3f4d267f2d38e19515bf22ae120994
memory_check,3,Steve is short,0,0,1,1,0a3f4d267f2d38e19515bf22ae120994
memory_check,4,Anthony is uneducated,1,0,0,1,0a3f4d267f2d38e19515bf22ae120994
memory_check,5,Diana is unpatriotic,1,1,1,1,0a3f4d267f2d38e19515bf22ae120994
memory_check,6,Michael is nerdy,0,0,1,1,0a3f4d267f2d38e19515bf22ae120994
memory_check,7,William is not forgiving,1,1,1,1,0a3f4d267f2d38e19515bf22ae120994
memory_check,8,Lee is not generous,1,1,1,1,0a3f4d267f2d38e19515bf22ae120994
memory_check,9,Louis is athletic,0,0,1,1,0a3f4d267f2d38e19515bf22ae120994
memory_check,0,Eric is mature,1,1,1,1,8499a5f05d6ab9af847c8511420a7093
memory_check,1,Michael is nerdy,0,0,1,1,8499a5f05d6ab9af847c8511420a7093
memory_check,2,Casey is studious,0,0,1,1,8499a5f05d6ab9af847c8511420a7093
memory_check,3,Cameron is intolerant,1,1,1,1,8499a5f05d6ab9af847c8511420a7093
memory_check,4,Steve is short,0,0,1,1,8499a5f05d6ab9af847c8511420a7093
memory_check,5,Diana is dishonest,1,1,1,1,8499a5f05d6ab9af847c8511420a7093
memory_check,6,Kathleen is not kind,1,0,0,1,8499a5f05d6ab9af847c8511420a7093
memory_check,7,John is reliable,1,1,1,1,8499a5f05d6ab9af847c8511420a7093
memory_check,8,Louis is athletic,0,0,1,1,8499a5f05d6ab9af847c8511420a7093
memory_check,9,Jamar is not unexpected,0,0,1,1,8499a5f05d6ab9af847c8511420a7093
memory_check,0,Stephanie is unintelligent,1,1,1,1,e0287c56d4d93f21b112e2108648eb78
memory_check,1,Maya is impolite,1,1,1,1,e0287c56d4d93f21b112e2108648eb78
memory_check,2,Louis is athletic,0,0,1,1,e0287c56d4d93f21b112e2108648eb78
memory_check,3,Jamar is not unexpected,0,0,1,1,e0287c56d4d93f21b112e2108648eb78
memory_check,4,Amber is not friendly,1,0,0,1,e0287c56d4d93f21b112e2108648eb78
memory_check,5,Michael is nerdy,0,0,1,1,e0287c56d4d93f21b112e2108648eb78
memory_check,6,Samuel is resourceful,1,1,1,1,e0287c56d4d93f21b112e2108648eb78
memory_check,7,Steve is short,0,0,1,1,e0287c56d4d93f21b112e2108648eb78
memory_check,8,Casey is studious,0,0,1,1,e0287c56d4d93f21b112e2108648eb78
memory_check,9,Veronica is not generous,1,1,1,1,e0287c56d4d93f21b112e2108648eb78
memory_check,0,Steve is short,0,0,1,1,a2a518c3f00b452c77a4e8e462f74726
memory_check,1,Mason is intelligent,1,1,1,1,a2a518c3f00b452c77a4e8e462f74726
memory_check,2,Veronica is unresourceful,1,1,1,1,a2a518c3f00b452c77a4e8e462f74726
memory_check,3,Jeremy is not reliable,1,1,1,1,a2a518c3f00b452c77a4e8e462f74726
memory_check,4,Michelle is kind,1,1,1,1,a2a518c3f00b452c77a4e8e462f74726
memory_check,5,Casey is studious,0,0,1,1,a2a518c3f00b452c77a4e8e462f74726
memory_check,6,Michael is nerdy,0,0,1,1,a2a518c3f00b452c77a4e8e462f74726
memory_check,7,Jamar is not unexpected,0,0,1,1,a2a518c3f00b452c77a4e8e462f74726
memory_check,8,Louis is athletic,0,0,1,1,a2a518c3f00b452c77a4e8e462f74726
memory_check,9,Dylan is generous,1,1,1,1,a2a518c3f00b452c77a4e8e462f74726
memory_check,0,Claire is unhappy,1,0,0,1,8f10b408ba7b315f7f390c60909cb3ec
memory_check,1,Casey is studious,0,0,1,1,8f10b408ba7b315f7f390c60909cb3ec
memory_check,2,Michael is nerdy,0,1,0,1,8f10b408ba7b315f7f390c60909cb3ec
memory_check,3,Louis is athletic,0,0,1,1,8f10b408ba7b315f7f390c60909cb3ec
memory_check,4,Michelle is uneducated,1,0,0,1,8f10b408ba7b315f7f390c60909cb3ec
memory_check,5,Lucas is not friendly,1,1,1,1,8f10b408ba7b315f7f390c60909cb3ec
memory_check,6,Sasha is not intelligent,1,0,0,1,8f10b408ba7b315f7f390c60909cb3ec
memory_check,7,Steve is short,0,1,0,1,8f10b408ba7b315f7f390c60909cb3ec
memory_check,8,Jamar is not unexpected,0,0,1,1,8f10b408ba7b315f7f390c60909cb3ec
memory_check,9,Dylan is not sincere,1,0,0,1,8f10b408ba7b315f7f390c60909cb3ec
memory_check,0,Michael is nerdy,0,1,0,1,3adfd489622f2bb57fa78f0a916957b8
memory_check,1,Stephanie is not not patriotic,1,1,1,1,3adfd489622f2bb57fa78f0a916957b8
memory_check,2,Jeremy is tolerant,1,0,0,1,3adfd489622f2bb57fa78f0a916957b8
memory_check,3,Noah is unhappy,1,0,0,1,3adfd489622f2bb57fa78f0a916957b8
memory_check,4,Greg is not mature,1,0,0,1,3adfd489622f2bb57fa78f0a916957b8
memory_check,5,Jamar is not unexpected,0,0,1,1,3adfd489622f2bb57fa78f0a916957b8
memory_check,6,Steve is short,0,1,0,1,3adfd489622f2bb57fa78f0a916957b8
memory_check,7,Charles is not not reliable,1,0,0,1,3adfd489622f2bb57fa78f0a916957b8
memory_check,8,Louis is athletic,0,0,1,1,3adfd489622f2bb57fa78f0a916957b8
memory_check,9,Casey is studious,0,1,0,1,3adfd489622f2bb57fa78f0a916957b8
memory_check,0,Casey is studious,0,0,1,1,6249a1797e7ebf5985df10889a472c73
memory_check,1,Jennifer is not not ambitious,1,1,1,1,6249a1797e7ebf5985df10889a472c73
memory_check,2,Jacob is not polite,1,0,0,1,6249a1797e7ebf5985df10889a472c73
memory_check,3,Jamar is not unexpected,0,0,1,1,6249a1797e7ebf5985df10889a472c73
memory_check,4,Tom is unintelligent,1,1,1,1,6249a1797e7ebf5985df10889a472c73
memory_check,5,Louis is athletic,0,0,1,1,6249a1797e7ebf5985df10889a472c73
memory_check,6,Steve is short,0,0,1,1,6249a1797e7ebf5985df10889a472c73
memory_check,7,Michael is nerdy,0,0,1,1,6249a1797e7ebf5985df10889a472c73
memory_check,8,Anthony is irrational,1,1,1,1,6249a1797e7ebf5985df10889a472c73
memory_check,9,Andrew is immature,1,0,0,1,6249a1797e7ebf5985df10889a472c73
memory_check,0,Noah is not not rational,1,1,1,1,c1bcc3dc7a15bf3a9ab76c01d5e146da
memory_check,1,Casey is studious,0,1,0,1,c1bcc3dc7a15bf3a9ab76c01d5e146da
memory_check,2,Louis is athletic,0,0,1,1,c1bcc3dc7a15bf3a9ab76c01d5e146da
memory_check,3,Steve is short,0,0,1,1,c1bcc3dc7a15bf3a9ab76c01d5e146da
memory_check,4,Jamar is not unexpected,0,0,1,1,c1bcc3dc7a15bf3a9ab76c01d5e146da
memory_check,5,Kathleen is not not forgiving,1,1,1,1,c1bcc3dc7a15bf3a9ab76c01d5e146da
memory_check,6,Jennifer is not not sincere,1,1,1,1,c1bcc3dc7a15bf3a9ab76c01d5e146da
memory_check,7,Kim is unpatriotic,1,1,1,1,c1bcc3dc7a15bf3a9ab76c01d5e146da
memory_check,8,Diana is uneducated,1,0,0,1,c1bcc3dc7a15bf3a9ab76c01d5e146da
memory_check,9,Michael is nerdy,0,0,1,1,c1bcc3dc7a15bf3a9ab76c01d5e146da
memory_check,0,Louis is athletic,0,1,0,1,43c967d888da00c1ed560b45a828244a
memory_check,1,Sasha is not interesting,1,1,1,1,43c967d888da00c1ed560b45a828244a
memory_check,2,Veronica is intelligent,1,1,1,1,43c967d888da00c1ed560b45a828244a
memory_check,3,Jamar is not unexpected,0,0,1,1,43c967d888da00c1ed560b45a828244a
memory_check,4,Michael is nerdy,0,0,1,1,43c967d888da00c1ed560b45a828244a
memory_check,5,Steve is short,0,0,1,1,43c967d888da00c1ed560b45a828244a
memory_check,6,Kathleen is reliable,1,1,1,1,43c967d888da00c1ed560b45a828244a
memory_check,7,Diana is resourceful,1,1,1,1,43c967d888da00c1ed560b45a828244a
memory_check,8,Casey is studious,0,0,1,1,43c967d888da00c1ed560b45a828244a
memory_check,9,Dylan is impolite,1,1,1,1,43c967d888da00c1ed560b45a828244a
memory_check,0,Steve is short,0,0,1,1,9f160eda40f23894fe8d0f045fdc1f7a
memory_check,1,Stephen is not not generous,1,0,0,1,9f160eda40f23894fe8d0f045fdc1f7a
memory_check,2,Jamar is not unexpected,0,0,1,1,9f160eda40f23894fe8d0f045fdc1f7a
memory_check,3,Michael is nerdy,0,0,1,1,9f160eda40f23894fe8d0f045fdc1f7a
memory_check,4,Louis is athletic,0,0,1,1,9f160eda40f23894fe8d0f045fdc1f7a
memory_check,5,Liam is unattractive,1,1,1,1,9f160eda40f23894fe8d0f045fdc1f7a
memory_check,6,Lucas is impolite,1,1,1,1,9f160eda40f23894fe8d0f045fdc1f7a
memory_check,7,Andrew is not affectionate,1,1,1,1,9f160eda40f23894fe8d0f045fdc1f7a
memory_check,8,Casey is studious,0,0,1,1,9f160eda40f23894fe8d0f045fdc1f7a
memory_check,9,Emma is not patriotic,1,1,1,1,9f160eda40f23894fe8d0f045fdc1f7a
memory_check,0,Jamar is not unexpected,0,0,1,1,ed1956a712a2e8aedafe8a7b52aa304a
memory_check,1,Monica is patriotic,1,1,1,1,ed1956a712a2e8aedafe8a7b52aa304a
memory_check,2,Eric is not not kind,1,1,1,1,ed1956a712a2e8aedafe8a7b52aa304a
memory_check,3,Casey is studious,0,0,1,1,ed1956a712a2e8aedafe8a7b52aa304a
memory_check,4,Michael is nerdy,0,0,1,1,ed1956a712a2e8aedafe8a7b52aa304a
memory_check,5,Steve is short,0,0,1,1,ed1956a712a2e8aedafe8a7b52aa304a
memory_check,6,Brooke is unattractive,1,1,1,1,ed1956a712a2e8aedafe8a7b52aa304a
memory_check,7,Tom is unresourceful,1,1,1,1,ed1956a712a2e8aedafe8a7b52aa304a
memory_check,8,Louis is athletic,0,0,1,1,ed1956a712a2e8aedafe8a7b52aa304a
memory_check,9,Anthony is friendly,1,1,1,1,ed1956a712a2e8aedafe8a7b52aa304a
memory_check,0,Cameron is unattractive,1,1,1,1,0d6ab12efafd6934220d01b1f0f10c0c
memory_check,1,William is not not educated,1,0,0,1,0d6ab12efafd6934220d01b1f0f10c0c
memory_check,2,Greg is uninteresting,1,0,0,1,0d6ab12efafd6934220d01b1f0f10c0c
memory_check,3,Kathleen is not honest,1,0,0,1,0d6ab12efafd6934220d01b1f0f10c0c
memory_check,4,Steve is short,0,0,1,1,0d6ab12efafd6934220d01b1f0f10c0c
memory_check,5,Andrew is polite,1,0,0,1,0d6ab12efafd6934220d01b1f0f10c0c
memory_check,6,Michael is nerdy,0,0,1,1,0d6ab12efafd6934220d01b1f0f10c0c
memory_check,7,Louis is athletic,0,0,1,1,0d6ab12efafd6934220d01b1f0f10c0c
memory_check,8,Casey is studious,0,0,1,1,0d6ab12efafd6934220d01b1f0f10c0c
memory_check,9,Jamar is not unexpected,0,0,1,1,0d6ab12efafd6934220d01b1f0f10c0c
memory_check,0,Jamar is not unexpected,0,0,1,1,2724ec1319f673c043f3719e0ec429d9
memory_check,1,Daniel is not not forgiving,1,1,1,1,2724ec1319f673c043f3719e0ec429d9
memory_check,2,Noah is patriotic,1,1,1,1,2724ec1319f673c043f3719e0ec429d9
memory_check,3,Casey is studious,0,0,1,1,2724ec1319f673c043f3719e0ec429d9
memory_check,4,Charles is insincere,1,1,1,1,2724ec1319f673c043f3719e0ec429d9
memory_check,5,Lucas is dishonest,1,1,1,1,2724ec1319f673c043f3719e0ec429d9
memory_check,6,Louis is athletic,0,0,1,1,2724ec1319f673c043f3719e0ec429d9
memory_check,7,Steve is short,0,0,1,1,2724ec1319f673c043f3719e0ec429d9
memory_check,8,Maya is not not mature,1,1,1,1,2724ec1319f673c043f3719e0ec429d9
memory_check,9,Michael is nerdy,0,0,1,1,2724ec1319f673c043f3719e0ec429d9
memory_check,0,Eric is not patriotic,1,1,1,1,2d0aafc6e30bb3baeecd15ed0b3991ba
memory_check,1,Brooke is educated,1,1,1,1,2d0aafc6e30bb3baeecd15ed0b3991ba
memory_check,2,Michael is nerdy,0,0,1,1,2d0aafc6e30bb3baeecd15ed0b3991ba
memory_check,3,Noah is not not kind,1,1,1,1,2d0aafc6e30bb3baeecd15ed0b3991ba
memory_check,4,Steve is short,0,0,1,1,2d0aafc6e30bb3baeecd15ed0b3991ba
memory_check,5,Louis is athletic,0,0,1,1,2d0aafc6e30bb3baeecd15ed0b3991ba
memory_check,6,Anthony is unaffectionate,1,0,0,1,2d0aafc6e30bb3baeecd15ed0b3991ba
memory_check,7,Casey is studious,0,0,1,1,2d0aafc6e30bb3baeecd15ed0b3991ba
memory_check,8,Jamar is not unexpected,0,0,1,1,2d0aafc6e30bb3baeecd15ed0b3991ba
memory_check,9,Kathleen is not not sincere,1,0,0,1,2d0aafc6e30bb3baeecd15ed0b3991ba
memory_check,0,Steve is short,0,0,1,1,d5f862406fe50c980c06e4e7cce57507
memory_check,1,Samuel is not friendly,1,1,1,1,d5f862406fe50c980c06e4e7cce57507
memory_check,2,Louis is athletic,0,0,1,1,d5f862406fe50c980c06e4e7cce57507
memory_check,3,Michael is nerdy,0,0,1,1,d5f862406fe50c980c06e4e7cce57507
memory_check,4,Casey is studious,0,0,1,1,d5f862406fe50c980c06e4e7cce57507
memory_check,5,Gabriel is not resourceful,1,1,1,1,d5f862406fe50c980c06e4e7cce57507
memory_check,6,Sophia is not not mature,1,1,1,1,d5f862406fe50c980c06e4e7cce57507
memory_check,7,Kathleen is unpatriotic,1,0,0,1,d5f862406fe50c980c06e4e7cce57507
memory_check,8,Jamar is not unexpected,0,0,1,1,d5f862406fe50c980c06e4e7cce57507
memory_check,9,Stephanie is not not intelligent,1,1,1,1,d5f862406fe50c980c06e4e7cce57507
memory_check,0,Kim is not generous,1,0,0,1,df74b52baf466226d04b59cdfbf5cf55
memory_check,1,Louis is athletic,0,0,1,1,df74b52baf466226d04b59cdfbf5cf55
memory_check,2,Michael is nerdy,0,0,1,1,df74b52baf466226d04b59cdfbf5cf55
memory_check,3,Dylan is not friendly,1,0,0,1,df74b52baf466226d04b59cdfbf5cf55
memory_check,4,Casey is studious,0,0,1,1,df74b52baf466226d04b59cdfbf5cf55
memory_check,5,Sophia is interesting,1,0,0,1,df74b52baf466226d04b59cdfbf5cf55
memory_check,6,Anthony is unambitious,1,0,0,1,df74b52baf466226d04b59cdfbf5cf55
memory_check,7,Steve is short,0,0,1,1,df74b52baf466226d04b59cdfbf5cf55
memory_check,8,Jamar is not unexpected,0,0,1,1,df74b52baf466226d04b59cdfbf5cf55
memory_check,9,Gabriel is not attractive,1,1,1,1,df74b52baf466226d04b59cdfbf5cf55
memory_check,0,Casey is studious,0,0,1,1,09a4ba48d832cf47cb6d5cd5379f80cf
memory_check,1,Michael is nerdy,0,0,1,1,09a4ba48d832cf47cb6d5cd5379f80cf
memory_check,2,Emma is not intelligent,1,1,1,1,09a4ba48d832cf47cb6d5cd5379f80cf
memory_check,3,Dylan is forgiving,1,1,1,1,09a4ba48d832cf47cb6d5cd5379f80cf
memory_check,4,Daniel is not rational,1,1,1,1,09a4ba48d832cf47cb6d5cd5379f80cf
memory_check,5,Sophia is not not happy,1,1,1,1,09a4ba48d832cf47cb6d5cd5379f80cf
memory_check,6,Alexander is not not sincere,1,0,0,1,09a4ba48d832cf47cb6d5cd5379f80cf
memory_check,7,Jamar is not unexpected,0,0,1,1,09a4ba48d832cf47cb6d5cd5379f80cf
memory_check,8,Steve is short,0,0,1,1,09a4ba48d832cf47cb6d5cd5379f80cf
memory_check,9,Louis is athletic,0,0,1,1,09a4ba48d832cf47cb6d5cd5379f80cf
